"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
0,-1,-1,2,-0.5,"Below the bound",-0.5,120,"10y","Nominal",1.41442065314422,1.42409115931151,-0.967050616728926,0.067333959731938,200000
1,-1,-1,3,0.75,"Near the bound",-0.5,120,"10y","Nominal",1.85202209015816,1.85909047489346,-0.706838473529525,0.0555781362912279,200000
-1,0,-1,4,-0.75,"Below the bound",-0.5,120,"10y","Nominal",1.54989537509747,1.55915484429057,-0.925946919310539,0.0621386840776456,200000
0,0,-1,5,0.5,"Near the bound",-0.5,120,"10y","Nominal",1.99015459365738,1.99667971385116,-0.652512019377749,0.050047506482855,200000
1,0,-1,6,1.75,"Above the bound",-0.5,120,"10y","Nominal",2.501292750098,2.50562927703342,-0.433652693542275,0.0391663240310142,200000
-1,1,-1,7,0.25,"Near the bound",-0.5,120,"10y","Nominal",2.13587329001144,2.14183486677479,-0.596157676335007,0.0447328273683161,200000
0,1,-1,8,1.5,"Above the bound",-0.5,120,"10y","Nominal",2.65172150773774,2.65548634180609,-0.376483406835026,0.0339262067993541,200000
1,1,-1,9,2.75,"Above the bound",-0.5,120,"10y","Nominal",3.20074294319078,3.20309243060405,-0.234948741326679,0.0258920824102969,200000
-1,-1,0,10,-0.25,"Below the bound",-0.5,120,"10y","Nominal",1.11294015169612,1.12454644108311,-1.16062893869897,0.0763139761181938,200000
0,-1,0,11,1,"Near the bound",-0.5,120,"10y","Nominal",1.49936052158742,1.50856525122219,-0.920472963477614,0.0663277612721034,200000
1,-1,0,12,2.25,"Above the bound",-0.5,120,"10y","Nominal",1.96555235099354,1.97234120917396,-0.678885818041608,0.0547858238867316,200000
-1,0,0,13,0.75,"Near the bound",-0.5,120,"10y","Nominal",1.62787650518562,1.63662930661217,-0.875280142654344,0.0611119498642351,200000
0,0,0,14,2,"Above the bound",-0.5,120,"10y","Nominal",2.10174891483875,2.10796017844195,-0.621126360319613,0.0491324086248003,200000
1,0,0,15,3.25,"Above the bound",-0.5,120,"10y","Nominal",2.62282826452268,2.62702490270113,-0.419663817844196,0.0387690482633237,200000
-1,1,0,16,1.75,"Above the bound",-0.5,120,"10y","Nominal",2.2450231575248,2.25063125710505,-0.560809958025565,0.0436728285914762,200000
0,1,0,17,3,"Above the bound",-0.5,120,"10y","Nominal",2.77276395256688,2.77637359865819,-0.360964609130443,0.0334587141479955,200000
1,1,0,18,4.25,"Above the bound",-0.5,120,"10y","Nominal",3.32482871877971,3.32712313177834,-0.22944129986251,0.025735794428681,200000
-1,-1,1,19,1.25,"Above the bound",-0.5,120,"10y","Nominal",1.19040745510976,1.20159369125351,-1.11862361437549,0.0756748189039062,200000
0,-1,1,20,2.5,"Above the bound",-0.5,120,"10y","Nominal",1.60636348090347,1.61523798536332,-0.887450445985305,0.065407269005105,200000
1,-1,1,21,3.75,"Above the bound",-0.5,120,"10y","Nominal",2.08442473977221,2.09101888621024,-0.659414643802991,0.0542227645487244,200000
-1,0,1,22,2.25,"Above the bound",-0.5,120,"10y","Nominal",1.73262261712822,1.74100526443224,-0.83826473040225,0.0600861715036173,200000
0,0,1,23,3.5,"Above the bound",-0.5,120,"10y","Nominal",2.22004346883713,2.22604384361493,-0.600037477780857,0.0484929199682224,200000
1,0,1,24,4.75,"Above the bound",-0.5,120,"10y","Nominal",2.74580634836912,2.74989954589706,-0.409319752793946,0.0384860488586071,200000
