"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths","wu_xia_yield","wu_xia_error_bp","implementation_difference_bp"
-1,1,-1,7,0.25,"Near the bound",0.5,120,"10y","Nominal",2.13610918717604,2.14268881360211,-0.657962642606691,0.0144243993072846,2000000,2.13610918717604,-0.657962642606691,0
0,1,-1,8,1.5,"Above the bound",0.5,120,"10y","Nominal",2.65191339104534,2.65606566681775,-0.415227577240884,0.0109675635416238,2000000,2.65191339104534,-0.415227577240884,0
1,1,-1,9,2.75,"Above the bound",0.5,120,"10y","Nominal",3.20089595578522,3.20347818252217,-0.258222673695174,0.00838914517424325,2000000,3.20089595578522,-0.258222673695174,0
-1,-1,0,10,-0.25,"Below the bound",0.5,120,"10y","Nominal",1.11332501457231,1.12594396587923,-1.2618951306923,0.0244713324130958,2000000,1.11332501457231,-1.2618951306923,0
0,-1,0,11,1,"Near the bound",0.5,120,"10y","Nominal",1.49971103353868,1.50971759661071,-1.00065630720281,0.0212944693903921,2000000,1.49971103353868,-1.00065630720281,0
1,-1,0,12,2.25,"Above the bound",0.5,120,"10y","Nominal",1.96586044671559,1.97319522987824,-0.733478316265268,0.0176137613651292,2000000,1.96586044671559,-0.733478316265268,0
-1,0,0,13,0.75,"Near the bound",0.5,120,"10y","Nominal",1.62819331148117,1.63775547754272,-0.956216606154925,0.0196397975097766,2000000,1.62819331148117,-0.956216606154925,0
0,0,0,14,2,"Above the bound",0.5,120,"10y","Nominal",2.10202079685874,2.10876598769662,-0.674519083788105,0.0158205752250948,2000000,2.10202079685874,-0.674519083788105,0
1,0,0,15,3.25,"Above the bound",0.5,120,"10y","Nominal",2.62305509917175,2.62760531720982,-0.455021803807387,0.0125040007163732,2000000,2.62305509917175,-0.455021803807387,0
-1,1,0,16,1.75,"Above the bound",0.5,120,"10y","Nominal",2.24525823081635,2.25139792428085,-0.613969346450105,0.0140859328166589,2000000,2.24525823081635,-0.613969346450105,0
0,1,0,17,3,"Above the bound",0.5,120,"10y","Nominal",2.77295520890951,2.77691082062838,-0.395561171886971,0.0108156034765593,2000000,2.77295520890951,-0.395561171886971,0
1,1,0,18,4.25,"Above the bound",0.5,120,"10y","Nominal",3.32498137962087,3.32749753327915,-0.251615365828206,0.00833728418239165,2000000,3.32498137962087,-0.251615365828206,0
-1,-1,1,19,1.25,"Above the bound",0.5,120,"10y","Nominal",1.19079205752231,1.20294155795986,-1.21495004375467,0.0242666806342494,2000000,1.19079205752231,-1.21495004375467,0
0,-1,1,20,2.5,"Above the bound",0.5,120,"10y","Nominal",1.6067132607121,1.61630148335421,-0.958822264211134,0.0210011665919795,2000000,1.6067132607121,-0.958822264211134,0
1,-1,1,21,3.75,"Above the bound",0.5,120,"10y","Nominal",2.08473206127832,2.09182141844377,-0.708935716544978,0.0174314238231593,2000000,2.08473206127832,-0.708935716544978,0
-1,0,1,22,2.25,"Above the bound",0.5,120,"10y","Nominal",1.73293868121381,1.74204208878592,-0.910340757210526,0.0193137665225335,2000000,1.73293868121381,-0.910340757210526,0
0,0,1,23,3.5,"Above the bound",0.5,120,"10y","Nominal",2.22031456547624,2.22679089646595,-0.647633098971268,0.0156141327277063,2000000,2.22031456547624,-0.647633098971268,0
1,0,1,24,4.75,"Above the bound",0.5,120,"10y","Nominal",2.74603262297725,2.75046443748667,-0.443181450942465,0.0124105219097748,2000000,2.74603262297725,-0.443181450942465,0
-1,1,1,25,3.25,"Above the bound",0.5,120,"10y","Nominal",2.36281677352677,2.36866214863355,-0.584537510677752,0.0138489991482477,2000000,2.36281677352677,-0.584537510677752,0
0,1,1,26,4.5,"Above the bound",0.5,120,"10y","Nominal",2.89580545329361,2.8996337637337,-0.382831044009002,0.0107112316731579,2000000,2.89580545329361,-0.382831044008958,-4.44089209850063e-14
